1308643750705,10,0,150,50,130,200
1308643751283,13,5,155,65,130,180
1308643751860,16,10,160,80,130,160
1308643752438,19,15,165,95,130,140
1308643753015,22,25,175,110,130,120
1308643753593,25,30,180,125,130,100
1308643754170,28,35,185,140,130,80
1308643754748,31,40,190,155,130,60
1308643755326,34,45,195,170,130,40
1308643755903,37,50,200,185,130,20
1308643756481,40,55,205,200,130,0
1308643757058,43,60,210,215,130,30
1308643757636,46,65,215,230,130,60
1308643758213,49,70,220,245,130,90
1308643758791,50,75,225,260,130,120
1308643759369,51,80,230,275,130,150
1308643759946,52,85,235,290,130,180
1308643760524,53,90,240,305,130,210
1308643761101,54,95,245,320,130,240
1308643761679,55,100,250,335,130,270
1308643762256,55,95,255,350,130,250
1308643762834,55,90,260,365,130,230
1308643763412,55,85,265,380,130,210
1308643763989,55,80,270,395,135,190
1308643764567,55,75,275,410,140,170
1308643765144,55,70,280,425,145,150
1308643765722,55,65,285,440,150,130
1308643766299,55,60,290,455,155,110
1308643766877,54,55,295,470,160,90
1308643767455,53,50,300,485,165,70
1308643768032,52,45,295,470,160,50
1308643768610,51,40,290,455,155,30
1308643769187,50,35,285,440,150,10
1308643769765,49,30,280,425,145,12
1308643770342,48,25,275,410,140,14
1308643770920,47,20,270,395,135,16
1308643771498,46,15,265,380,130,18
1308643772075,45,10,260,365,125,20
1308643772653,44,5,255,350,120,22
1308643773230,43,0,250,335,115,24
1308643773808,42,5,245,320,110,26
1308643774385,41,10,240,305,105,28
1308643774963,40,15,235,290,100,30
1308643775541,40,20,230,275,95,32
1308643776118,40,25,225,260,90,34
1308643776696,40,30,220,245,85,36
1308643777273,40,35,215,230,80,38
1308643777851,40,30,210,215,75,40
1308643778428,40,25,205,200,70,42
1308643779006,40,20,200,185,65,44
1308643779584,40,15,195,195,60,46
1308643780161,40,10,190,205,55,48
1308643780739,40,5,185,215,50,50
1308643781316,40,0,180,225,45,52
1308643781894,40,5,175,235,40,54
1308643782471,40,10,170,245,35,56
1308643783049,40,15,165,255,30,58
1308643783627,40,20,160,265,25,60
1308643784204,40,25,155,275,20,62
1308643784782,40,30,150,285,15,64
1308643785359,40,35,155,295,20,66
1308643785937,41,40,160,305,25,68
1308643786514,42,45,165,315,30,70
1308643787092,43,50,170,325,35,72
1308643787669,44,55,175,335,40,74
1308643788247,45,60,180,345,45,76
1308643788825,46,65,185,355,50,78
1308643789402,47,70,190,365,55,80
1308643789980,48,75,195,375,60,82
1308643790557,49,70,200,385,65,84
1308643791135,50,65,205,395,70,86
1308643791712,51,60,210,405,75,88
1308643792290,52,55,215,415,80,90
1308643792868,52,50,220,425,85,92
1308643793445,52,45,225,435,90,94
1308643794023,52,40,230,445,92,96
1308643794600,52,35,235,455,94,98
1308643795178,52,30,240,465,96,100
1308643795755,52,25,245,475,98,102
1308643796333,52,20,250,485,100,104
1308643796911,52,15,255,482,102,124
1308643797488,52,10,260,479,104,154
1308643798066,52,15,265,476,106,194
1308643798643,52,20,270,473,108,224
1308643799221,52,30,275,470,110,244
1308643799798,52,40,280,467,112,254
1308643800376,55,50,285,464,114,244
1308643800954,58,60,290,461,116,234
1308643801531,61,70,295,458,118,224
1308643802109,64,80,300,455,120,214
1308643802686,67,90,295,452,122,204
1308643803264,70,75,290,449,124,194
1308643803841,73,60,285,446,126,184
1308643804419,70,45,280,443,128,174
1308643804997,67,30,275,440,130,164
1308643805574,64,15,270,437,132,154
1308643806152,61,0,265,434,134,144
1308643806729,58,25,260,431,136,134
1308643807307,55,50,255,428,138,124
1308643808462,65,75,250,425,140,114
